,ITLB misses,DTLB misses, STLB misses
trace_no,,
603.bwaves_s-1740B.champsimtrace.xz,0.442304,42148
603.bwaves_s-2609B.champsimtrace.xz,0.442283,19588
603.bwaves_s-2931B.champsimtrace.xz,0.563048,34126
603.bwaves_s-891B.champsimtrace.xz,0.624957,278
605.mcf_s-1644B.champsimtrace.xz,0.125258,288712
620.omnetpp_s-141B.champsimtrace.xz,0.242619,1025219
649.fotonik3d_s-10881B.champsimtrace.xz,0.441666,124371
omnetpp_340B.trace.gz,0.228573,909514
ferret-after.100M.champsim.gz,0.587331,128647
canneal-15000-2000-6000-after.100M.champsim.gz,0.658583,114
canneal-15000-2000-6000-after.1B.champsim.gz,0.317116,263899
cassandra_phase0_core0.trace.gz,0.56223,986695
cassandra_phase1_core0.trace.gz,0.473217,1121681
cassandra_phase2_core2.trace.gz,0.575207,985810
cassandra_phase3_core2.trace.gz,0.551285,970996
cassandra_phase5_core3.trace.gz,0.57126,995365
classification_phase0_core2.trace.gz,0.575399,1862513
classification_phase1_core2.trace.gz,0.568428,1860315
classification_phase2_core3.trace.gz,0.597262,1827718
classification_phase3_core1.trace.gz,0.565795,1852625
classification_phase4_core2.trace.gz,0.566624,1889400
classification_phase5_core3.trace.gz,0.557283,1901685
cloud9_phase0_core2.trace.gz,0.588031,2300817
cloud9_phase1_core2.trace.gz,0.530738,2369638
cloud9_phase2_core3.trace.gz,0.544743,2310333
cloud9_phase3_core3.trace.gz,0.583211,2323897
cloud9_phase4_core3.trace.gz,0.594837,2322973
nutch_phase0_core3.trace.gz,0.637433,1279611
nutch_phase2_core3.trace.gz,0.518971,5333152
nutch_phase5_core2.trace.gz,,
streaming_phase4_core1.trace.gz,0.447915,1342489
